TENSAO,CORRENTE
0.6375,0.1215
0.6375,0.12319
0.6375,0.12544
0.6,0.12263
0.6,0.12769
0.6,0.12938
0.6375,0.12825
0.6375,0.12319
0.6375,0.12769
0.6,0.12769
0.6,0.1305
0.6,0.12488
0.6,0.12994
0.6375,0.12319
0.6,0.1305
0.6,0.12488
0.6,0.12938
0.6375,0.12994
0.6375,0.12375
0.6375,0.13105999999999998
0.6375,0.12712
0.6375,0.12938
0.6375,0.12769
0.6375,0.12431
0.6375,0.13105999999999998
0.6375,0.12825
0.6375,0.12880999999999998
0.6375,0.12655999999999998
0.6375,0.13669
0.6375,0.12488
0.6,0.126
0.6,0.12375
0.6,0.13163
0.6,0.12488
0.6375,0.1305
0.6,0.12544
0.6375,0.12431
0.6,0.12769
0.6,0.12880999999999998
0.6375,0.13219
0.6,0.12880999999999998
0.6,0.12094
0.6,0.13163
0.6375,0.12655999999999998
0.6,0.126
0.6,0.11925
0.6,0.12880999999999998
0.6,0.126
0.6375,0.126
0.6,0.13105999999999998
0.6375,0.13105999999999998
0.6375,0.12938
0.6375,0.12488
0.6,0.12655999999999998
0.6,0.126
0.6375,0.12431
0.6375,0.12655999999999998
0.6375,0.12769
0.6,0.13387000000000002
0.6375,0.12712
0.6,0.12263
0.6,0.12544
0.6,0.12712
0.6375,0.13219
0.6,0.12319
0.6375,0.12825
0.6375,0.12375
0.6375,0.12263
0.6,0.12431
0.6375,0.12206
0.6375,0.12544
0.6375,0.12769
0.6375,0.1305
0.6375,0.12544
0.6375,0.126
0.6375,0.12094
0.6375,0.12488
0.6375,0.12994
0.675,0.12319
0.6375,0.12880999999999998
0.6375,0.12880999999999998
0.6375,0.12488
0.6375,0.1305
0.6375,0.12319
0.6375,0.12825
0.6375,0.12431
0.6375,0.12712
0.6375,0.12769
0.6375,0.13163
0.6,0.12206
0.6375,0.12880999999999998
0.6375,0.12263
0.6375,0.11925
0.6375,0.12206
0.6375,0.126
0.6375,0.12655999999999998
0.6375,0.12375
0.6375,0.12263
0.6,0.12880999999999998
0.6375,0.126
0.6375,0.13105999999999998
0.6375,0.12544
0.6375,0.12431
0.6375,0.126
0.6375,0.126
0.6375,0.12206
0.6375,0.12825
0.6375,0.12712
0.6375,0.12375
0.6375,0.12375
0.6375,0.12655999999999998
0.6375,0.12825
0.6375,0.12206
0.6375,0.1305
0.6375,0.12825
0.675,0.12769
0.6375,0.12712
0.6375,0.12769
0.6375,0.13219
0.6375,0.12375
0.6375,0.12825
0.6375,0.12880999999999998
0.6375,0.13612
0.6375,0.1305
0.675,0.12712
0.6375,0.12038
0.6375,0.12655999999999998
0.6375,0.12488
0.6375,0.12488
0.6375,0.1305
0.6375,0.1305
0.6375,0.12488
0.6,0.12880999999999998
0.6375,0.13275
0.6375,0.12994
0.6,0.12769
0.6,0.12712
0.6375,0.11869
0.6,0.126
0.6,0.12431
0.6,0.13163
0.6,0.126
0.6375,0.12375
0.6,0.12712
0.6,0.12825
0.6375,0.12825
0.6375,0.12825
0.6,0.12825
0.6375,0.126
0.6375,0.12431
0.6375,0.126
0.6,0.12206
0.6375,0.12769
0.6375,0.12319
0.6375,0.12488
0.6375,0.12825
0.6375,0.12206
0.6375,0.12263
0.6375,0.12994
0.6375,0.12319
0.6375,0.12769
0.6375,0.12712
0.6375,0.12488
0.6375,0.13105999999999998
0.6375,0.12994
0.6375,0.12712
0.6375,0.12880999999999998
0.6375,0.12938
0.6375,0.12994
0.6375,0.13105999999999998
0.6375,0.12712
0.6375,0.1305
0.6375,0.12712
0.6375,0.12655999999999998
0.6375,0.12488
0.6375,0.12375
0.6375,0.12994
0.6375,0.126
0.6375,0.13163
0.6375,0.13219
0.6375,0.12655999999999998
0.6375,0.12769
0.6375,0.126
0.6375,0.12825
0.6375,0.12263
0.6375,0.1305
0.6375,0.12038
0.6375,0.12375
0.6375,0.12206
0.6375,0.12880999999999998
0.6375,0.12488
0.6375,0.12544
0.6375,0.12938
0.6375,0.12769
0.6375,0.12880999999999998
0.6375,0.12544
0.6375,0.12880999999999998
0.6375,0.12655999999999998
0.6375,0.12544
0.6375,0.12263
0.6,0.12544
0.6375,0.12431
0.6375,0.1305
0.6,0.12712
0.6375,0.1305
0.6375,0.12655999999999998
0.6375,0.12488
0.6375,0.12769
0.6375,0.13444
0.6375,0.12880999999999998
0.6375,0.12938
0.6375,0.13105999999999998
0.6375,0.12319
0.6,0.13387000000000002
0.6375,0.13330999999999998
0.6375,0.12375
0.6375,0.12712
0.6,0.12938
0.6,0.12712
0.6375,0.12488
0.6,0.12488
0.6,0.11981
0.6,0.12655999999999998
0.6,0.1305
0.6375,0.12431
0.6,0.12544
0.6,0.1305
0.6,0.12206
0.6375,0.12375
0.6,0.12938
0.6375,0.12488
0.6375,0.13330999999999998
0.6375,0.12938
0.6375,0.12769
0.6375,0.12319
0.6375,0.12712
0.6375,0.12712
0.6375,0.12994
0.6375,0.12206
0.6375,0.11981
0.6375,0.12825
0.6375,0.13219
0.6375,0.12825
0.6375,0.12712
0.6375,0.12712
0.6375,0.12994
0.6375,0.12880999999999998
0.6375,0.12263
0.6375,0.12655999999999998
0.6375,0.12375
0.6375,0.13105999999999998
0.6375,0.12655999999999998
0.6375,0.13105999999999998
0.6375,0.1215
0.6375,0.12375
0.6375,0.12488
0.6375,0.12825
0.6375,0.12488
0.6375,0.13444
0.6375,0.12206
0.6375,0.12488
0.6375,0.126
0.6375,0.126
0.6375,0.12375
0.6375,0.1305
0.6375,0.13105999999999998
0.6375,0.12375
0.6375,0.12375
0.6375,0.12263
0.6375,0.12319
0.6375,0.12712
0.6375,0.12880999999999998
0.675,0.12769
0.6375,0.12880999999999998
0.6375,0.12769
0.6375,0.135
0.6375,0.13105999999999998
0.6375,0.126
0.6375,0.13105999999999998
0.6375,0.12880999999999998
0.6375,0.12994
0.6375,0.126
0.6375,0.12712
0.6375,0.12488
0.6375,0.12994
0.6375,0.12994
0.6375,0.13387000000000002
0.6375,0.12094
0.6375,0.12938
0.6375,0.12880999999999998
0.6375,0.12938
0.6375,0.13444
0.6375,0.12880999999999998
0.6375,0.12488
0.6375,0.13275
0.6375,0.1305
0.6375,0.12825
0.6375,0.12375
0.6375,0.12655999999999998
0.6375,0.12488
0.6375,0.12375
0.6375,0.12994
0.675,0.12769
0.6375,0.12712
0.6375,0.12206
0.6375,0.1215
0.6375,0.12825
0.6375,0.1305
0.6375,0.12769
0.6375,0.12375
0.6375,0.12544
0.6375,0.12825
0.6375,0.1305
0.6375,0.12712
0.6375,0.12880999999999998
0.6,0.12880999999999998
0.6,0.126
0.6375,0.12488
0.6375,0.12655999999999998
0.6,0.12712
0.6,0.12206
0.6,0.13163
0.6,0.12488
0.6375,0.13556
0.6,0.12769
0.6,0.12825
0.6,0.1305
0.6,0.12488
0.6375,0.12880999999999998
0.6375,0.126
0.6,0.1305
0.6,0.12375
0.6,0.1305
0.6,0.12825
0.6375,0.13219
0.6,0.12544
0.6,0.12655999999999998
0.6375,0.12375
0.6375,0.13330999999999998
0.6375,0.12938
0.6375,0.12938
0.6375,0.12769
0.6375,0.12655999999999998
0.6375,0.12655999999999998
0.6375,0.12544
0.6375,0.12938
0.6,0.12880999999999998
0.6,0.12825
0.6375,0.13275
0.6375,0.13105999999999998
0.6375,0.12655999999999998
0.6375,0.1305
0.6375,0.13275
0.6375,0.1305
0.6375,0.13275
0.6375,0.12431
0.6,0.12938
0.6375,0.12938
0.6,0.12488
0.6375,0.12880999999999998
0.6375,0.12880999999999998
0.6,0.12375
0.6,0.12488
0.6,0.12994
0.6,0.126
0.6,0.12769
0.6,0.11981
0.6375,0.126
0.6,0.12880999999999998
0.6375,0.126
0.6,0.12994
0.6375,0.12431
0.6375,0.12431
0.6,0.12488
0.6,0.12263
0.6,0.12769
0.6375,0.12488
0.6375,0.12431
0.6375,0.12880999999999998
0.6375,0.12880999999999998
0.6375,0.12655999999999998
0.6375,0.13330999999999998
0.6375,0.12825
0.6375,0.12712
0.6375,0.13444
0.6375,0.12655999999999998
0.6375,0.12825
0.6375,0.126
0.6375,0.12712
0.6375,0.12431
0.6375,0.13219
0.6375,0.12655999999999998
0.6,0.12938
0.6,0.12655999999999998
0.6,0.12938
0.6375,0.12375
0.6375,0.12712
0.6375,0.12994
0.6,0.12712
0.6,0.12488
0.6,0.12769
0.6375,0.12880999999999998
0.6375,0.1305
0.6375,0.12655999999999998
0.6375,0.126
0.6375,0.12994
0.6,0.12994
0.6375,0.12263
0.6,0.12938
0.6,0.12938
0.6,0.12769
0.6375,0.13387000000000002
0.6,0.12431
0.6375,0.13275
0.6375,0.12712
0.6375,0.12938
0.6375,0.12825
0.6375,0.12319
0.6375,0.12375
0.6,0.12319
0.6375,0.1305
0.6375,0.13219
0.6,0.12375
0.6375,0.12994
0.6375,0.12488
0.6375,0.12994
0.6375,0.12375
0.6375,0.12544
0.6,0.12712
0.6375,0.13105999999999998
0.6375,0.12263
0.6,0.12319
0.6,0.12712
0.6,0.12938
0.6,0.12375
0.6,0.12825
0.6375,0.12825
0.6375,0.12655999999999998
0.6375,0.12880999999999998
0.6375,0.12319
0.6375,0.12263
0.6375,0.12431
0.6375,0.12375
0.6375,0.13163
0.6375,0.12431
0.6375,0.12825
0.6,0.12544
0.6,0.12938
0.6,0.11981
0.6375,0.1215
0.6375,0.12488
0.6,0.13275
0.6,0.126
0.6375,0.13387000000000002
0.6375,0.12825
0.6375,0.12206
0.6375,0.12375
0.6375,0.12655999999999998
0.6375,0.13163
0.6375,0.12544
0.6375,0.12994
0.6,0.13330999999999998
0.6,0.13556
0.6375,0.12263
0.6375,0.12994
0.6375,0.12655999999999998
0.6,0.12880999999999998
0.6,0.12825
0.6,0.12263
0.6375,0.12825
0.6375,0.12880999999999998
0.6375,0.12938
0.6375,0.12712
0.6375,0.12712
0.6375,0.13387000000000002
0.6375,0.13219
0.6375,0.12825
0.6375,0.126
0.6375,0.12880999999999998
0.6375,0.12880999999999998
0.6375,0.12712
0.6375,0.12544
0.6375,0.12880999999999998
0.6375,0.13725
0.6375,0.13163
0.6375,0.12880999999999998
0.6375,0.12825
0.6375,0.12488
0.6375,0.12712
0.6375,0.12544
0.6375,0.12880999999999998
0.6375,0.12712
0.6375,0.12488
0.6375,0.12263
0.6375,0.126
0.6375,0.11981
0.6375,0.13275
0.6375,0.12431
0.6,0.13105999999999998
0.6375,0.12544
0.6375,0.13330999999999998
0.6,0.12712
0.6,0.12488
0.6,0.12431
0.6,0.12263
0.6,0.12712
0.6,0.12655999999999998
0.6,0.12994
0.6,0.12544
0.6,0.12994
0.6,0.12488
0.6,0.12544
0.6375,0.12994
0.6,0.13219
0.6,0.12488
0.6375,0.12375
0.6,0.12712
0.6,0.13105999999999998
0.6375,0.12488
0.6,0.1305
0.6,0.12544
0.6,0.12994
0.6,0.12375
0.6,0.12655999999999998
0.6375,0.12825
0.6375,0.12431
0.6,0.13219
0.6,0.13219
0.6375,0.12431
0.6,0.12263
0.6375,0.12769
0.6,0.12544
0.6,0.12825
0.6,0.12263
0.6375,0.12488
0.6375,0.12769
0.675,0.13105999999999998
0.6375,0.126
0.6375,0.12488
0.6375,0.12431
0.6,0.12544
0.6,0.12544
0.6,0.12431
0.6375,0.1305
0.6375,0.13387000000000002
0.6375,0.126
0.6375,0.12938
0.6375,0.12712
0.6375,0.12544
0.6,0.1305
0.6375,0.12769
0.6375,0.12938
0.6375,0.12375
0.6,0.12769
0.6375,0.13275
0.6375,0.12319
0.6,0.12206
0.6375,0.12712
0.6375,0.12038
0.6375,0.13219
0.6,0.1215
0.6375,0.12880999999999998
0.6375,0.13219
0.6,0.126
0.6375,0.12994
0.6375,0.12712
0.6375,0.12712
0.6375,0.12094
0.6375,0.12712
0.6,0.11813
0.6375,0.12375
0.6375,0.12544
0.6375,0.12319
0.6375,0.12938
0.6375,0.12094
0.6,0.12375
0.6375,0.1305
0.6375,0.12880999999999998
0.6375,0.126
0.6375,0.12769
0.6,0.126
0.6375,0.12655999999999998
0.6,0.12825
0.6375,0.12825
0.6375,0.12712
0.6375,0.1305
0.6375,0.12938
0.6375,0.13219
0.6,0.12375
0.6,0.12655999999999998
0.6375,0.12769
0.6375,0.13444
0.6375,0.126
0.6375,0.12825
0.6375,0.13105999999999998
0.6,0.12319
0.6,0.12769
0.6,0.12431
0.6375,0.12938
0.6375,0.12488
0.6375,0.12712
0.6,0.12825
0.6,0.13163
0.6375,0.12880999999999998
0.6375,0.12544
0.6375,0.12655999999999998
0.6,0.12544
0.6375,0.12431
0.6375,0.13105999999999998
0.6375,0.12712
0.6,0.12375
0.6,0.126
0.6375,0.1305
0.6375,0.12712
0.6375,0.12938
0.6,0.12319
0.6375,0.12431
0.6375,0.12880999999999998
0.6375,0.12263
0.6,0.12544
0.6375,0.12488
0.675,0.12769
0.6375,0.1215
0.6375,0.12206
0.6,0.12375
0.6375,0.12825
0.6375,0.12655999999999998
0.6375,0.126
0.6,0.12712
0.6375,0.12712
0.6375,0.12938
0.6375,0.12544
0.6,0.1215
0.6375,0.12488
0.6375,0.12769
0.6375,0.12319
0.6,0.12712
0.6375,0.13105999999999998
0.6375,0.12544
0.6375,0.12263
0.6375,0.12769
0.6,0.12544
0.675,0.12880999999999998
0.6375,0.12769
0.6,0.12038
0.6375,0.12712
0.6375,0.12263
0.6,0.12319
0.6375,0.13219
0.6375,0.12319
0.6375,0.12712
0.6375,0.13219
0.6375,0.12263
0.6,0.126
0.6375,0.12938
0.6,0.12544
0.6375,0.1305
0.6375,0.12880999999999998
0.6375,0.12544
0.6,0.12319
0.6375,0.12544
0.6,0.12375
0.6375,0.13275
0.6375,0.11813
0.6,0.12825
0.6375,0.12880999999999998
0.6375,0.12655999999999998
0.6,0.11981
0.6375,0.13105999999999998
0.6375,0.12206
0.6,0.1215
0.6375,0.126
0.6375,0.12769
0.6375,0.12094
0.6375,0.12375
0.6375,0.1215
0.6375,0.12319
0.6,0.12544
0.6375,0.12655999999999998
0.6375,0.12655999999999998
0.6,0.12544
0.6,0.12206
0.6375,0.11925
0.6375,0.12319
0.6375,0.12880999999999998
0.6375,0.12655999999999998
0.6375,0.12375
0.6,0.13163
0.6375,0.12319
0.6375,0.12038
0.6375,0.1305
0.6375,0.12655999999999998
0.6,0.12769
0.6375,0.13163
0.6375,0.12544
0.6375,0.12655999999999998
0.6375,0.12263
0.6375,0.12825
0.6375,0.12206
0.6375,0.12825
0.6375,0.12206
0.6375,0.126
0.6,0.12263
0.6375,0.12769
0.6375,0.13330999999999998
0.6,0.13275
0.675,0.13105999999999998
0.6,0.12825
0.6375,0.13330999999999998
0.6375,0.12769
0.6375,0.12488
0.6375,0.12375
0.6,0.12712
0.6375,0.12544
0.6375,0.1305
0.6375,0.13219
0.6375,0.12880999999999998
0.6375,0.1305
0.6375,0.12655999999999998
0.6375,0.12769
0.6,0.12825
0.6375,0.12544
0.6375,0.12712
0.6,0.13219
0.6375,0.12544
0.6375,0.12880999999999998
0.6375,0.13219
0.6375,0.12263
0.6,0.13163
0.6375,0.12938
0.6375,0.12488
0.6375,0.12206
0.6375,0.12319
0.6,0.12712
0.6375,0.12263
0.6375,0.12544
0.6375,0.12769
0.6375,0.12544
0.6375,0.12038
0.6375,0.12712
0.6,0.12938
0.6375,0.12544
0.6375,0.12712
0.6,0.12880999999999998
0.6375,0.12712
0.6,0.12319
0.6375,0.12655999999999998
0.6375,0.12431
0.6,0.12319
0.6375,0.12769
0.6375,0.12544
0.6375,0.12655999999999998
0.6375,0.12994
0.6375,0.12880999999999998
0.6375,0.12825
0.6375,0.12769
0.6375,0.11925
0.6375,0.12544
0.6375,0.126
0.6375,0.12206
0.6375,0.12712
0.6375,0.12769
0.6375,0.13163
0.6,0.12094
0.6375,0.12488
0.6375,0.12655999999999998
0.6375,0.1305
0.6375,0.12544
0.6,0.12825
0.6375,0.13275
0.6375,0.12712
0.6375,0.12488
0.6,0.13105999999999998
0.6375,0.126
0.6375,0.12712
0.6375,0.12319
0.6375,0.12712
0.6375,0.12488
0.6375,0.12994
0.6375,0.13105999999999998
0.6375,0.12206
0.6,0.12206
0.6375,0.12431
0.6375,0.13556
0.6375,0.12544
0.6,0.12431
0.6,0.12880999999999998
0.6375,0.126
0.6375,0.12769
0.6375,0.12825
0.6375,0.12431
0.6375,0.1305
0.6375,0.12825
0.6375,0.12375
0.6375,0.13330999999999998
0.6375,0.13219
0.6,0.12431
0.6375,0.12712
0.6375,0.12655999999999998
0.6375,0.12938
0.6375,0.12431
0.6375,0.12938
0.6375,0.135
0.6375,0.126
0.6375,0.12712
0.6375,0.12825
0.6,0.12769
0.6,0.126
0.6375,0.12655999999999998
0.6375,0.12488
0.6375,0.12712
0.6375,0.13105999999999998
0.6375,0.12938
0.6,0.12431
0.6375,0.126
0.6375,0.12825
0.6375,0.12431
0.6375,0.13163
0.6375,0.12431
0.6375,0.12263
0.6375,0.12655999999999998
0.6,0.12769
0.6375,0.12994
0.6375,0.12488
0.675,0.12655999999999998
0.6375,0.12319
0.6375,0.12431
0.6375,0.12431
0.6,0.12825
0.6,0.13219
0.6375,0.12206
0.6,0.12655999999999998
0.6,0.13105999999999998
0.6375,0.12431
0.6,0.12825
0.6375,0.126
0.6,0.12712
0.6375,0.12712
0.6,0.12263
0.6375,0.12544
0.6,0.12375
0.6375,0.12769
0.6,0.12544
0.6375,0.12431
0.6375,0.12319
0.6375,0.12655999999999998
0.6375,0.12431
0.6375,0.12488
0.6375,0.126
0.6375,0.12206
0.6375,0.12994
0.6,0.12544
0.6375,0.12094
0.6375,0.12769
0.6375,0.12488
0.6375,0.12655999999999998
0.6375,0.12375
0.6,0.1215
0.6375,0.12094
0.6,0.12488
0.6375,0.126
0.6375,0.12712
0.6375,0.1215
0.6375,0.12994
0.6375,0.12544
0.6,0.12544
0.6,0.12769
0.6375,0.12488
0.6375,0.11869
0.6,0.12544
0.6375,0.12263
0.6375,0.12712
0.6375,0.12319
0.6375,0.12319
0.6375,0.12880999999999998
0.6375,0.13330999999999998
0.6375,0.12544
0.6,0.12431
0.6375,0.126
0.6,0.12488
0.6375,0.12655999999999998
0.6375,0.12263
0.6,0.12994
0.6375,0.126
0.6375,0.12488
0.6,0.13219
0.6375,0.12488
0.6,0.12488
0.6375,0.12263
0.6,0.12544
0.6375,0.13275
0.6,0.12375
0.6,0.12319
0.6,0.12263
0.6,0.12375
0.6,0.12544
0.6,0.12319
0.6375,0.12655999999999998
0.6375,0.11925
0.6,0.12655999999999998
0.6,0.126
0.6375,0.12655999999999998
0.6375,0.12544
0.6,0.126
0.6,0.12431
0.6,0.12880999999999998
0.6,0.12994
0.6375,0.12375
0.6375,0.12488
0.6,0.1215
0.6375,0.12431
0.6375,0.12038
0.6375,0.12263
0.6375,0.12488
0.6375,0.12655999999999998
0.6375,0.12263
0.6375,0.13330999999999998
0.6375,0.12825
0.6375,0.12994
0.6375,0.126
0.6375,0.12938
0.6375,0.12206
0.6375,0.12938
0.6375,0.13163
0.6375,0.12825
0.6375,0.12880999999999998
0.6375,0.12431
0.6375,0.12712
0.6375,0.13275
0.6375,0.12488
0.6375,0.12880999999999998
0.6375,0.12825
0.6375,0.12094
0.6375,0.12825
0.6375,0.12938
0.6375,0.13163
0.675,0.12825
0.6375,0.12880999999999998
0.6375,0.12488
0.6375,0.12544
0.6375,0.12319
0.6375,0.12319
0.6375,0.12038
0.6375,0.12712
0.6375,0.12769
0.6375,0.1305
0.6375,0.13275
0.6375,0.12488
0.6375,0.12431
0.6,0.12375
0.6,0.12038
0.6,0.1305
0.6375,0.12319
0.6,0.11813
0.6375,0.126
0.6375,0.12712
0.6375,0.12488
0.6375,0.12094
0.6,0.12488
0.6375,0.13105999999999998
0.6,0.1215
0.6375,0.13387000000000002
0.6,0.12938
0.6375,0.1305
0.6,0.12319
0.6375,0.12769
0.6375,0.12544
0.6375,0.12712
0.6,0.126
0.6375,0.12375
0.6,0.12375
0.6375,0.12544
0.6375,0.12712
0.6375,0.12712
0.6,0.12319
0.6,0.12994
0.6,0.12712
0.6375,0.12880999999999998
0.6375,0.12263
0.6375,0.12825
0.6375,0.12994
0.6375,0.12655999999999998
0.6,0.12880999999999998
0.6375,0.12994
0.6375,0.13163
0.6375,0.1215
0.6,0.13163
0.6375,0.12994
0.6375,0.126
0.6375,0.12712
0.6375,0.12880999999999998
0.6,0.12769
0.6375,0.12938
0.6,0.12880999999999998
0.6375,0.12655999999999998
0.6,0.12431
0.6,0.12712
0.6375,0.12655999999999998
0.6,0.12488
0.6375,0.12938
0.6,0.12712
0.6,0.126
0.6375,0.13219
0.6375,0.12319
0.6,0.12655999999999998
0.6375,0.12880999999999998
0.6375,0.12431
0.6375,0.12488
0.6375,0.12712
0.6375,0.12769
0.6375,0.12544
0.6375,0.12938
0.6375,0.13444
0.6375,0.1305
0.6375,0.12825
0.6375,0.12769
0.6375,0.13444
0.6375,0.1305
0.6375,0.126
0.6375,0.12938
0.675,0.12655999999999998
0.6375,0.12206
0.6375,0.12825
0.6375,0.12712
0.6375,0.13219
0.6375,0.12712
0.6,0.12488
0.6,0.12880999999999998
0.6,0.12206
0.6,0.126
0.6,0.12655999999999998
0.6375,0.12544
0.6,0.12769
0.6375,0.12431
0.6,0.12712
0.6,0.1305
0.6,0.12994
0.6375,0.12319
0.6375,0.12880999999999998
0.6,0.12712
0.6375,0.12544
0.6375,0.12431
0.6375,0.12769
0.6375,0.1215
0.6375,0.12825
0.6375,0.13387000000000002
0.6375,0.1305
0.6375,0.12655999999999998
0.675,0.13330999999999998
0.6375,0.12994
0.6375,0.12994
0.6375,0.12880999999999998
0.6375,0.12769
0.6375,0.12655999999999998
0.6375,0.12825
0.6375,0.12938
0.6375,0.12712
0.6375,0.12994
0.6,0.12825
0.6,0.1305
0.6375,0.12938
0.6,0.126
0.6375,0.12769
0.6,0.12094
0.6375,0.12712
0.6,0.12825
0.6375,0.12431
0.6,0.12319
0.6375,0.11925
0.6375,0.12038
0.6375,0.12094
0.6375,0.12938
0.6375,0.1305
0.6375,0.12938
0.6375,0.12938
0.675,0.12938
0.6375,0.12880999999999998
0.6375,0.12263
0.6375,0.12712
0.6375,0.12544
0.6375,0.12712
0.6375,0.12544
0.6375,0.12038
0.6375,0.11813
0.6,0.12880999999999998
0.6,0.12038
0.6375,0.12263
0.6,0.12544
0.6,0.12375
0.6,0.12938
0.6,0.12319
0.6375,0.13105999999999998
0.6,0.12488
0.6,0.12994
0.6,0.12544
0.6,0.12769
0.6,0.12712
0.6,0.12488
0.6375,0.12655999999999998
0.6375,0.12880999999999998
0.6,0.12769
0.6,0.12319
0.6,0.12375
0.6,0.12319
0.6,0.12938
0.6375,0.12712
0.6,0.12038
0.6375,0.12375
0.6,0.12769
0.6,0.12938
0.6375,0.12038
0.6,0.126
0.6,0.12038
0.6375,0.12375
0.6,0.12769
0.6375,0.12655999999999998
0.6375,0.11813
0.6375,0.12431
0.6,0.12488
0.6375,0.12825
0.6,0.12544
0.6375,0.12712
0.6375,0.12938
0.6375,0.12263
0.6,0.13163
0.6375,0.12712
0.6375,0.12712
0.6375,0.126
0.6375,0.13330999999999998
0.6,0.12938
0.6,0.12375
0.6,0.12206
0.6375,0.12544
0.6,0.12263
0.6,0.12206
0.6375,0.126
0.6375,0.12431
0.6375,0.12712
0.6,0.126
0.6375,0.12206
0.6375,0.12712
0.6375,0.126
0.6375,0.126
0.6375,0.12206
0.6375,0.12206
0.6375,0.12319
0.6375,0.12319
0.6375,0.12488
0.6375,0.12994
0.6375,0.1215
0.6375,0.12544
0.6375,0.12769
0.6375,0.12544
0.6375,0.12206
0.6375,0.12769
0.6375,0.126
0.6375,0.12880999999999998
0.6375,0.12880999999999998
0.6375,0.12263
0.6375,0.13275
0.6375,0.12375
0.6375,0.11925
0.6375,0.12880999999999998
0.6375,0.12544
0.6375,0.1215
0.6375,0.12544
0.6375,0.12769
0.6,0.12375
0.6375,0.12655999999999998
0.6,0.12263
0.6,0.11981
0.6375,0.126
0.6,0.12544
0.6,0.1305
0.6,0.13275
0.6375,0.12880999999999998
0.6,0.12655999999999998
0.6,0.12825
0.6,0.12938
0.6375,0.12263
0.6,0.12544
0.6,0.126
0.6375,0.12375
0.6375,0.1305
0.6375,0.12880999999999998
0.6375,0.12712
0.6375,0.12319
0.6375,0.1305
0.6375,0.12938
0.6375,0.12488
0.6375,0.12431
0.6375,0.12938
0.6375,0.12544
0.6375,0.12544
0.6375,0.13219
0.6375,0.12880999999999998
0.6375,0.12880999999999998
0.6375,0.12431
0.6375,0.12769
0.6375,0.13105999999999998
0.6375,0.12431
0.6375,0.12655999999999998
0.6375,0.12375
0.6375,0.12880999999999998
0.6375,0.12319
0.6375,0.12488
0.6375,0.11588
0.6375,0.13219
0.6375,0.1305
0.6375,0.1305
0.6375,0.1305
0.6375,0.12375
0.6375,0.12769
0.6375,0.13163
0.6375,0.12769
0.6375,0.12319
0.6,0.12994
0.6,0.12544
0.6,0.12769
0.6375,0.12655999999999998
0.6375,0.12825
0.6375,0.12655999999999998
0.6,0.12431
0.6,0.12769
0.6,0.12994
0.6375,0.12769
0.6,0.12655999999999998
0.6375,0.12825
0.6375,0.12206
0.6375,0.12712
0.6375,0.12655999999999998
0.6,0.12544
0.6375,0.12825
0.6375,0.12375
0.6,0.12880999999999998
0.6375,0.12938
0.6375,0.12825
0.6375,0.13330999999999998
0.6375,0.1305
0.6375,0.12825
0.6375,0.1305
0.6375,0.12431
0.6375,0.12319
0.6375,0.1215
0.6375,0.12655999999999998
0.6375,0.12938
0.6375,0.12712
0.6375,0.1305
0.6375,0.12994
0.6375,0.12319
0.6,0.12544
0.6,0.12994
0.6,0.12375
0.6,0.12319
0.6,0.12825
0.6,0.12488
0.6,0.12544
0.6375,0.12655999999999998
0.6375,0.12880999999999998
0.6375,0.12431
0.6375,0.12431
0.6375,0.126
0.6375,0.12544
0.6375,0.12431
0.6375,0.12094
0.6375,0.12319
0.6375,0.12488
0.6375,0.12655999999999998
0.6375,0.12655999999999998
0.6375,0.12488
0.6375,0.12375
0.6,0.12880999999999998
0.6,0.13163
0.6375,0.12206
0.6,0.12655999999999998
0.6,0.12375
0.6,0.12038
0.6375,0.12431
0.6,0.12431
0.6,0.12655999999999998
0.6375,0.12544
0.6375,0.12655999999999998
0.6375,0.126
0.6375,0.12712
0.6375,0.11699999999999999
0.6375,0.126
0.6375,0.12206
0.6375,0.12544
0.6375,0.12769
0.6375,0.12712
0.6375,0.12769
0.6375,0.12769
0.6,0.11869
0.6375,0.12655999999999998
0.6375,0.12094
0.6,0.12880999999999998
0.6375,0.12712
0.6375,0.12769
0.6375,0.12206
0.6375,0.13163
0.6,0.12880999999999998
0.6,0.12655999999999998
0.6375,0.12431
0.6,0.12994
0.6375,0.12488
0.6375,0.12544
0.6375,0.12206
0.6375,0.1305
0.6375,0.12431
0.6375,0.13163
0.6375,0.12206
0.6375,0.12544
0.6375,0.12880999999999998
0.6375,0.12712
0.6,0.12488
0.6,0.12094
0.6,0.11869
0.6375,0.12712
0.6375,0.12712
0.6,0.1305
0.6375,0.12655999999999998
0.6375,0.12263
0.6375,0.12712
0.6375,0.12712
0.6375,0.13387000000000002
0.6375,0.12094
0.6375,0.12994
0.6375,0.12825
0.6375,0.12712
0.6375,0.12544
0.6375,0.12375
0.6375,0.126
0.6375,0.12655999999999998
0.6375,0.12880999999999998
0.6375,0.12825
0.6,0.12038
0.6375,0.12880999999999998
0.6375,0.12038
0.6375,0.12038
0.6,0.12544
0.6,0.12938
0.6375,0.12094
0.6,0.12488
0.6375,0.12431
0.6375,0.12094
0.6375,0.12488
0.6,0.12655999999999998
0.6375,0.126
0.6375,0.12488
0.6375,0.12431
0.6375,0.12375
0.6375,0.1215
0.6375,0.12544
0.6375,0.12319
